nct_id,site,title,official_title,status,study_type,phase,conditions,enrollment,start_date,completion_date,primary_outcome,summary,eligibility_criteria,sex,min_age,max_age,officials,locations,therapeutic_areas,fetch_time,query_term,start_date_dt,completion_date_dt,study_duration_days,enrollment_velocity,is_completed,is_terminated
NCT00317187,GlaxoSmithKline,"Safety Study of a Vaccine Against Meningitis in Infants (2,4 & 6 Months Age) After a Birth Dose of Hepatitis B.",Partially Blinded Study to Assess Reactogenicity & Safety of GSK Biologicals' Tritanrix™-HepB/Hib-MenAC vs Tritanrix™-HepB/Hiberix™ in Healthy Infants After a Hepatitis B Birth Dose,COMPLETED,INTERVENTIONAL,PHASE3,"Hepatitis B, Diphtheria, Whole Cell Pertussis, Tetanus, Haemophilus Influenzae Type b",500,2004-06-08,2005-01-16,Occurrence of fever > 38.5°C(axillary) during the 4-day follow-up period after dose 1,"The purpose of this study is to compare the reactogenicity \& safety of Tritanrix™-HepB/Hib-MenAC vaccine to the international standard of care, Tritanrix™-HepB/Hiberix™.","Inclusion criteria:

• Healthy infants 56-83 days of age at the time of the first vaccine dose, written informed consent obtained from the parents, born after a gestation period of 36 to 42 weeks \& has received a birth dose of hepatitis B vaccine within the first 3 days of life.

Exclusion criteria:

* Any confirmed immunodeficient condition, based on medical history and physical examination.
* Planned administration/administration of a vaccine not foreseen by the study protocol within 30 days before the first dose of study vaccine, or planned administration during the study period with the exception of oral polio vaccine (OPV).
* Use of any investigational or non-registered drug or vaccine other than the study vaccine(s) within 30 days preceding the first dose of study vaccine, or planned use during the study period.
* Chronic administration (defined as more than 14 days) of immunosuppressants or other immune-modifying drugs since birth.
* Bacille Calmette-Guérin (BCG) vaccine received after the first 2 weeks of life.
* Previous vaccination against diphtheria, tetanus, pertussis, Haemophilus influenzae type b, and/or meningococcal disease.
* History of diphtheria, tetanus, pertussis, hepatitis B, Haemophilus influenzae type b and/or meningococcal disease or known exposure to these diseases since birth.
* Administration of immunoglobulins and/or any blood products since birth or planned administration during the study period.",ALL,56 Days,83 Days,GSK Clinical Trials (STUDY_DIRECTOR),Thailand,"Hepatitis B, Diphtheria, Whole Cell Pertussis, Tetanus, Haemophilus Influenzae Type b",2025-11-03T08:19:34.464273,whooping cough,2004-06-08,2005-01-16,222.0,2.2522522522522523,True,False
NCT04589312,"St George's, University of London",Maternal Pertussis Wholecell Responses,The Safety and imMunogeNicity of Combined Pertussis-cOntaining Vaccine (Tdap) for HIV-infected Pregnant WomEn and Their newboRns - A Randomized Clinical Trial,COMPLETED,INTERVENTIONAL,PHASE2,Pertussis,181,2020-10-21,2023-06-30,Anti-pertussis toxin (PT) and anti-FHA IgG concentrations in cord blood of Tdap-vaccinated HIV-infected vs HIV-uninfected pregnant women.,"Pertussis is resurging worldwide. In Africa alone it is estimated that there are 2.1 million cases and 542,000 deaths from pertussis in infants under 1 year with the highest rates of morbidity and mortality in infants \<3 months old, before possible prevention via the infant immunization programme1. To protect these most vulnerable infants, the World Health Organisation (WHO) recommends Tdap vaccination as safe in pregnancy and recommends the use of wP vaccines within the EPI. Maternal antibody following aP vaccination can interfere with infant anti-pertussis antibody responses post infant EPI vaccination, which is of concern in high burden settings such as Uganda. There are therefore multiple factors in this population which may influence the effect of pertussis immunization in pregnancy, and which have not been studied, most notably HIV infection and interference with wP vaccines in infants. The immunogenicity of Tdap in HIV-infected pregnant women has not yet been examined. In addition, to date, the effect of maternal vaccination, placental transfer and infant antibody responses in HEU infants have not been studied at all. There are no studies examining the immune response to wP vaccine administered to infants (EPI recommendation) whose mothers received aP in pregnancy.","Inclusion Criteria:

* Participant must be a woman aged 18 years or older, inclusive at day of signing the ICF;
* Pregnant woman at \>16 and \<26 weeks gestation, verified by ultrasound scan;
* Documented HIV test during pregnancy taken by rapid test at the screening visit;
* Low risk, singleton pregnancy, as assessed by the study physician based on ultrasound scan and previous obstetric history; and
* The woman is willing to comply with the study procedures, including giving birth at Kawempe National Referral Hospital, remaining in the study area until the infant is 1 year old and is able to provide informed consent for herself and on behalf of the infant

Exclusion Criteria:

Any of the following:

* Previous anaphylaxis to any component of Td or Tdap vaccines;
* vaccination is otherwise contraindicated (per product monographs);
* Documented to have received four or more previous tetanus toxoid vaccine doses (as this would prevent randomisation to Tdap group and receipt of two additional tetanus toxoid containing vaccines);
* History of pre-eclampsia or eclampsia in previous pregnancies;
* Gestational diabetes in current pregnancy;
* Rhesus negative mothers;
* Multigravida;
* Previous late stillbirth (defined as loss of pregnancy at any time after 28 weeks gestation);
* Previous low birth weight baby of less than 2.0 kilograms or premature delivery (defined as a delivery before 37 weeks gestation);
* Previous neonatal death (defined as death of an infant within the first 28 days of life);
* Previous delivery of an infant with a known or suspected genetic or chromosomal abnormality;
* History of other significant pregnancy related complications judged likely to affect the safety of the mother or infant or to significantly compromise the endpoint data collected;
* History of other significant neonatal complications judged likely to affect the safety of the mother or infant or to significantly compromise the endpoint data collected;
* Significant maternal chronic illness including but not limited to hypertension requiring treatment, heart disease, lung disease, neurological disorders including a history of epilepsy or recurrent afebrile seizures, kidney disease, liver disease, anaemia and other haematological disorders (including sickle cell), endocrine disorders including known diabetes mellitus, autoimmunity;
* Severe anaemia (less than 7.0g/dL);
* Known Syphilis or hepatitis B (HBV) virus positive or found to be Syphilis or HBV positive during screening;
* Any other condition judged to significantly increase the risks to either the mother or the infant within the current pregnancy (including relevant history from previous pregnancies);
* Receipt of any blood product including human immunoglobulins at any stage during the current pregnancy or plan to receive any blood products during the period or trial participation (receipt of blood products in an emergency or for obstetric reasons will not represent a protocol deviation given such situations are unplanned);
* Clinically suspected or confirmed congenital or acquired clotting or bleeding disorders or the current receipt of medications known to alter clotting or bleeding;
* Any clinically significant signs or symptoms of acute illness, significant abnormalities in vital signs, an axillary temperature of greater than 38.0°C or any recorded fever (greater than 38.0°C) in the preceding 24 hours;
* Two or more symptoms (nausea/vomiting, diarrhoea, headaches, fatigue and myalgia) rated as grade 2 and clinically significant on the maternal systemic reactogenicity scale present at baseline on the day of vaccination;
* Deprived of freedom by an administrative or court order, or in an emergency setting, or hospitalized involuntarily;
* Participation in the 4 weeks preceding the trial vaccination or planned participation during the present trial period in another clinical trial investigating a vaccine, drug, medical device, or medical procedure;
* History of being treated for pertussis",FEMALE,18 Years,,"Kirsty Le Doare, MBBS, PhD (STUDY_CHAIR), Manish Sadarangani, MRCPCH, DPHIL, BM.BCh, MA (STUDY_CHAIR)",Uganda,Pertussis,2025-11-03T08:19:34.464273,whooping cough,2020-10-21,2023-06-30,982.0,0.18431771894093688,True,False
NCT03982732,"St George's, University of London",Maternal Antibody in Milk After Vaccination,Maternal Antibody in Milk After Vaccination,UNKNOWN,OBSERVATIONAL,,"Pertussis, Vaccination, Pregnancy, Breastmilk",50,2018-08-07,2019-10-31,Anti PT IgA at less than 48 hours in colostrum,Single-centre observational pilot study exploring pertussis specific antibody concentration in the breastmilk of women vaccinated against pertussis in pregnancy at different gestational ages. This study is made up of two stages: first stage to confirm recruitment methods and optimise the laboratory assay and a second stage to complete recruitment for the pilot study.,"Inclusion Criteria:

* Singleton pregnancy
* Received pertussis vaccination between 16 and 32 gestational weeks
* Planning to breastfeed

Exclusion Criteria:

* Received vaccination outside of the 16-32 week window
* Not planning to breastfeed
* Diagnosis of an immunodeficiency syndrome
* Multiple pregnancy",FEMALE,18 Years,,Kirsty Le Doare (STUDY_DIRECTOR),United Kingdom,"Pertussis, Vaccination, Pregnancy, Breastmilk",2025-11-03T08:19:34.464273,whooping cough,2018-08-07,2019-10-31,450.0,0.1111111111111111,False,False
NCT00161928,Pfizer,"Study of NeisVac-C Vaccine to Evaluate Immunological Interference With Hepatitis B, Inactivated Polio and Acellular Pertussis Vaccines in Healthy Infants","A Randomized, Open-Label Trial of NeisVac-C Vaccine to Evaluate Immunological Interference With Hepatitis B, Inactivated Polio and Acellular Pertussis Vaccines in Healthy Infants",COMPLETED,INTERVENTIONAL,PHASE3,"Meningitis, Meningococcal",330,2002-04,2003-01,,"The primary aim of the study is to show that NeisVac-C does not influence the seroconversion rates induced by hepatitis B (Hep B), inactivated polio (IPV) and acellular pertussis (aP) vaccines in infants.","Inclusion Criteria:

* Male and female volunteers infants, aged 2 to 6 months
* Clinically healthy, (i.e. the physician would have no reservations vaccinating with a meningococcal C vaccine outside the scope of a clinical trial)
* Parent(s)/legal guardian understands the study and has provided written informed consent for his/her infant's study participation
* Parent(s)/legal guardian and infant will be available for the duration of the study

Exclusion Criteria:

* History of any vaccine-related contraindicating event (e.g. anaphylaxis)
* Rash or other dermatological condition at the injection site which could interfere with injection site reaction monitoring or lead to a dermatological reaction
* Subjects who have received or will receive other vaccine(s) ± 30 days before or after the study period
* Concurrent participation in or previous participation in a clinical trial with an investigational medicinal product
* Subjects who suffer from a disease (e.g. autoimmune disease) or are undergoing a form of treatment (e.g. systemic corticosteroids, chemotherapeutics) that can be expected to influence immunological functions
* Subjects who have previously received a vaccination against Hep B or meningococcal C
* Subjects who have received banked human blood or immunoglobulins within one month of study entry",ALL,2 Months,6 Months,Baxter BioScience Investigator (PRINCIPAL_INVESTIGATOR),"Austria, Germany","Meningitis, Meningococcal",2025-11-03T08:19:34.464273,whooping cough,,,,0.0,True,False
NCT02014519,GlaxoSmithKline,A Study to Determine the Seroprevalence of Bordetella Pertussis in Adults in Hungary,Seroprevalence of Bordetella Pertussis in Adults in Hungary,COMPLETED,INTERVENTIONAL,NA,"Pertussis, Pertussis Vaccines",2000,2014-04-24,2015-04-24,Number of Seropositive Subjects in Terms of Anti-pertussis Toxin (Anti-PT) Concentrations,The purpose of this study is to perform an epidemiological survey of the adult population in Hungary to calculate the seroprevalence of pertussis.,"Inclusion Criteria:

* Subjects who the investigator believes can and will comply with the requirements of the protocol.
* Written informed consent will be obtained from subjects prior to performing any study procedures.
* Males or females ≥ 18 years of age at the time of enrollment.
* Agreeing to collection of a blood sample for the study.

Exclusion Criteria:

• Confirmed or suspected immunological disorder.",ALL,18 Years,,GSK Clinical Trials (STUDY_DIRECTOR),Hungary,"Pertussis, Pertussis Vaccines",2025-11-03T08:19:34.464273,whooping cough,2014-04-24,2015-04-24,365.0,5.47945205479452,True,False
NCT00544271,GlaxoSmithKline,"Immunogenicity, Antibody Persistence and Safety of GSK Biologicals' DTPa (INFANRIX) and dTpa (BOOSTRIX) Vaccines.","Phase IIIb Study to Evaluate Immunogenicity, Antibody Persistency and Reactogenicity of DTPa - INFANRIX and dTpa - BOOSTRIX Vaccines Administered to Healthy Children Previously Primed With 3 Doses of DTPa Vaccine Compared to Placebo (HAVRIX®JUNIOR)",TERMINATED,INTERVENTIONAL,PHASE4,"Acellular Pertussis, Tetanus, Diphtheria",720,2003-05,2004-01,"Anti-diphtheria and anti-tetanus antibody concentration (1M, 15-18M & 27-29M after vacc)","To evaluate the immunogenicity, persistence of antibodies and reactogenicity of GSK Biologicals' DTPa (INFANRIX) and dTpa (BOOSTRIX), when administered to subjects 18-20 months old, compared with not giving a booster DTP vaccine at 18-20 months. Study double blinded for the two DTP vaccines and single blinded for the control arm.","Inclusion Criteria:

* Male or female children between and including 18 -20 months of age at the time of the vaccination.
* Completed a primary vaccination course with DTPa (INFANRIX) vaccine at 2, 4, and 6 months.
* Written informed consent obtained before study entry from the parents or guardians of the subject.
* Free of obvious health problems as established by medical history and clinical examination before entering into the study.

Exclusion Criteria:

* Use of any investigational or non-registered drug or vaccine other than the study vaccine(s) within 30 days preceding the administration of the study vaccine dose, or planned use during the study period.
* Evidence of previous or intercurrent diphtheria, tetanus, or pertussis disease, or of vaccination against any of these diseases since completion of the primary course of DTPa (INFANRIX) vaccine.",ALL,18 Months,20 Months,GSK Clinical Trials (STUDY_DIRECTOR),Australia,"Acellular Pertussis, Tetanus, Diphtheria",2025-11-03T08:19:34.464273,whooping cough,,,,0.0,False,True
NCT01094171,GlaxoSmithKline,Study to Evaluate the Safety of Co-administration of GSK Biologicals' Poliorix and Infanrix in Healthy Children in Russia,"A Phase IV (Not Interventional), Open-label, Multicentre Study to Evaluate the Reactogenicity and Safety of Co-administration of GlaxoSmithKline Biologicals' DTPa (Infanrix) and IPV (Poliorix) Vaccines Administered as Three-dose Primary Immunisation Course at 3, 4.5 and 6 Months of Age in Healthy Children in Russian Federation",COMPLETED,INTERVENTIONAL,PHASE4,Poliomyelitis,400,2010-12-03,2012-10-27,Number of Subjects Reporting Any and Grade 3 Solicited Local Symptoms,The purpose of this study is to assess reactogenicity and safety of simultaneous administration of GSK Biologicals' inactivated poliomyelitis vaccine Poliorix and GSK Biologicals' DTPa-vaccine Infanrix vaccines in healthy children in Russian Federation in their first year of life according to National Calendar of Prophylactic Immunisation of Russian Federation.,"Inclusion Criteria:

* Subjects who the investigator believes that their parents/guardians can and will comply with the requirements of the protocol should be enrolled in the study.
* A male or female aged 3 months including at the time of the vaccination.
* Written informed consent obtained from the parent of the subject.
* Healthy subjects as established by medical history and clinical examination and thermometry before entering into the study, that don't have contraindications for vaccination against diphtheria, tetanus, pertussis and poliomyelitis

Exclusion Criteria:

* Use of any investigational or non-registered product (drug or vaccine) other than the study vaccines within 30 days preceding the booster dose of study vaccine, or planned use during the study period.
* Chronic administration (defined as more than 14 days) of immunosuppressants or other immune-modifying drugs from birth.
* Administration of immunoglobulins and/or any blood products from birth or planned administration during the study period.
* Planned administration/ administration of a vaccine not foreseen by the study protocol within 30 days of the vaccination, except recombinant hepatitis B vaccine, Haemophilus influenzae type B vaccine and seasonal/pandemic influenza prophylactic.
* Participation in another clinical study at any time during the study, in which the subject has been or will be exposed to an investigational or a non-registered product (pharmaceutical product or device).
* Previous vaccination against diphtheria, tetanus, pertussis and poliomyelitis if by any reasons it was made in timeframe not stated by National Calendar of Prophylactic Vaccines of Russian Federation.
* Medical history of convulsions and progressive neurological disease.
* Any confirmed or suspected immunosuppressive or immunodeficient condition, based on physical examination (no laboratory testing required).
* History of allergic disease or reactions likely to be exacerbated by any component of the vaccines.
* Chronic diseases and serious congenital defects.
* Acute disease at the time of enrolment.",ALL,3 Months,6 Months,GSK Clinical Trials (STUDY_DIRECTOR),Russia,Poliomyelitis,2025-11-03T08:19:34.464273,whooping cough,2010-12-03,2012-10-27,694.0,0.5763688760806917,True,False
NCT01860378,Children's Hospital of Philadelphia,Vouchers to Promote Tdap Vaccination,Retail Pharmacy Vouchers to Promote Tdap Vaccination for Adults Living With Infants,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,Whooping Cough,149,2013-07,2015-03,Rate of Tdap Vaccination,"This study is a small-scale randomized, placebo-controlled factorial trial of two interventions to increase Tetanus, diphtheria and acellular pertussis (Tdap) immunization rates among infant caregivers. Specifically, the trial will compare a full cost vs. $5 Tdap voucher with or without an educational video.","Inclusion Criteria:

1. All caregivers who report that they have never received Tdap
2. Mothers who did not receive Tdap during their most recent pregnancy or since the birth of the child, even if she received Tdap during a previous pregnancy, as Tdap is now recommended for all pregnant women during each pregnancy.
3. Previous receipt of a tetanus containing vaccine (i.e. Td or TT), regardless of the time interval since receipt of the tetanus-containing vaccine will be also eligible for the study.
4. If a participant is certain they have not received Tdap within the past year but uncertain whether he/she has ever received Tdap, we will offer enrollment and encourage participants to obtain immunization records to confirm their status before voucher redemption. Rite Aid will follow their screening procedures which also includes assessing immunization status. Participants who do not know their Tdap vaccination status will receive the voucher intervention.

Exclusion Criteria:

1. Any adult caregiver who has previously received Tdap
2. For recently-pregnant women: If a mother who received Tdap during her most recent pregnancy (2nd trimester or 3rd trimester) or since the birth of the child. Also, if the mother is unsure of her vaccination status and possibly received the vaccine during this pregnancy or in the last year",ALL,18 Years,,"Kristen A Feemster, M.D. (PRINCIPAL_INVESTIGATOR)",United States,Whooping Cough,2025-11-03T08:19:34.464273,whooping cough,,,,0.0,True,False
NCT00655148,Statens Serum Institut,Safety and Immunogenicity of a New Serum-free DTaP-IPVvero Combination Vaccine,"Clinical Trial Comparing the Safety and Immunogenicity of Two Combined Diphtheria, Tetanus, Acellular Pertussis, and Inactivated Poliovirus (DTaP-IPV) Vaccines Administered to Healthy Children at 2, 3½, and 16 Months of Age",COMPLETED,INTERVENTIONAL,PHASE3,Active Immunization,817,2003-09,2006-10,"Simultaneous seroprotection percentages for neutralizing poliovirus antibodies (types 1, 2 and 3), when the defined limits of seroprotection is a titre value of >=4 for each of the three poliovirus types","The trial is a parallel group, multi-centre, randomized, double blind, non-inferiority trial investigating the immunogenicity and safety of two DTaP-IPV combination vaccines:

A)The investigational vaccine: DTaP-IPV containing IPV produced in a vero-cell line (DTaP-IPVvero) B)The reference vaccine: DTaP-IPV containing IPV produced in monkey kidney cells (DTaP-IPVmkc) The DTaP-IPV vaccines are administered to healthy infants at 2, 3½, 5, and 16 months of age concomitantly with Act-HIB vaccine administered as a separate injection in the opposite thigh.

Three blood samples are collected at 6, 16 and 17 months of age. Sera are analyzed for antibodies against diphtheria, tetanus, pertussis, polio and prp.","Inclusion Criteria:

* The parents were informed about the trial and have signed the consent form
* The subject is healthy
* The subject has an age of 28 to 49 days at hepatitis B vaccination
* The subject had a birth weight of ≥2500 g
* The subject has received a hepatitis B vaccination at birth
* The parents grant access to the subject's medical records
* The parents are likely to comply with instructions

Exclusion Criteria:

* The subject suffers from a severe chronic disease
* The subject has already been immunized with one or more doses of diphtheria, tetanus, pertussis, poliomyelitis, or Hib vaccines
* The subject has a known allergy to one of the vaccine components or to any of the constituents of the vaccines, including Act-HIB® and hepatitis B vaccines
* The subject has a history of diphtheria, tetanus, pertussis, poliomyelitis, hepatitis B, or Hib infections
* The subject has a known congenital or acquired immunodeficiency
* The subject is in treatment with or has been in treatment with a product which is likely to modify the immune response (i.e. immunoglobulin, systemic corticosteroids, blood products, other vaccines)
* The subject is participating in another clinical trial",ALL,28 Days,49 Days,"Jacek Pietrzyk, Proffessor M.D. (PRINCIPAL_INVESTIGATOR)",Poland,Active Immunization,2025-11-03T08:19:34.464273,whooping cough,,,,0.0,True,False
NCT00168558,Bandim Health Project,Early Two-dose Measles Vaccination Trial,Measles Vaccination in Guinea-Bissau. Strategies to Reduce Disease Burden and Improve Child Survival,COMPLETED,INTERVENTIONAL,PHASE4,Measles,5879,2003-07,2008-03,Vaccine efficacy,"The specific aims are to examine in Guinea-Bissau:

* whether the standard titre Schwarz (SW) or standard-titre Edmonston-Zagreb (EZ) measles vaccine will be the best vaccine strain for use in a routine one-dose measles vaccination schedule and a two-dose measles vaccination schedule in terms of antibody response, protection against measles and child survival, and
* whether the standard-titre Edmonston-Zagreb (EZ) vaccine will be suitable for use in a very early two-dose schedule vaccinating at 4½ and 9 months of age","Inclusion Criteria:

* Infants of 4½ months of age registered in the Bandim Health Project registration system and currently living in the Bandim Health Project areas: Bandim I, Bandim II, Belem, Mindará and Cuntum; and who received all three diphtheria-tetanus-pertussis vaccinations at least 4 weeks before enrollment

Exclusion Criteria:

* Severe illness requiring immediate hospitalisation",ALL,4 Months,6 Months,"Peter Aaby, MSc, Dr. Med (STUDY_DIRECTOR), May-Lill Garly, PHD, DTM&H (PRINCIPAL_INVESTIGATOR)",Guinea-Bissau,Measles,2025-11-03T08:19:34.464273,whooping cough,,,,0.0,True,False
